source,table,column,value,input_value,candidate,identifier,fma_id,category,relation,prov,eid,ms,notes
nlx_154697_8,nlx_154697_8,con_to,Anterior olfactory nucleus posteroventral part pyramidal layer,,Anterior olfactory nucleus posteroventral part pyramidal layer,,,,,curator,birnlex_1085,,
nlx_154697_8,nlx_154697_8,con_to,Anterior pretectal nucleus,,anterior pretectal nucleus,UBERON:0034918,,anatomical entity,,labels,nlx_144456,,
nlx_154697_8,nlx_154697_8,con_to,Anterior pretectal nucleus,,olivary pretectal nucleus,UBERON:0002565,FMA:72405,anatomical entity,,synonyms,nlx_144456,,
nlx_154697_8,nlx_154697_8,con_to,Anterodorsal nucleus of the thalamus,,anterodorsal nucleus of thalamus,UBERON:0002679,FMA:62141,anatomical entity,,labels,birnlex_1358,,
nlx_154697_8,nlx_154697_8,con_to,Anterodorsal preoptic nucleus,,Anterodorsal preoptic nucleus,,,,,curator,nlx_144455,,
nlx_154697_8,nlx_154697_8,con_to,Anteromedial nucleus of thalamus,,anteromedial nucleus of thalamus,UBERON:0002681,FMA:62142,anatomical entity,,labels,birnlex_1365,,
nlx_154697_8,nlx_154697_8,con_to,Anteromedial nucleus of thalamus dorsal part,,Anteromedial nucleus of thalamus dorsal part,,,,,curator,birnlex_1365,,
nlx_154697_8,nlx_154697_8,con_to,Anteromedial nucleus of thalamus ventral part,,Anteromedial nucleus of thalamus ventral part,,,,,curator,birnlex_1365,,
nlx_154697_8,nlx_154697_8,con_to,Anteroventral nucleus of thalamus,,anteroventral nucleus of thalamus,UBERON:0002685,FMA:62143,anatomical entity,,labels,birnlex_1372,,
nlx_154697_8,nlx_154697_8,con_to,Anteroventral periventricular nucleus,,anteroventral periventricular nucleus,UBERON:0002690,FMA:62314,anatomical entity,,labels,birnlex_1401,,
nlx_154697_8,nlx_154697_8,con_to,Anteroventral preoptic nucleus,,Anteroventral preoptic nucleus,,,,,curator,nlx_17240,,
nlx_154697_8,nlx_154697_8,con_to,Arcuate nucleus of the hypothalamus,,arcuate nucleus of hypothalamus,UBERON:0001932,FMA:62329,anatomical entity,,labels,birnlex_1638,,
nlx_154697_8,nlx_154697_8,con_to,Area Postrema,,area postrema,UBERON:0002162,FMA:72607,anatomical entity,,labels,birnlex_2636,,
nlx_154697_8,nlx_154697_8,con_to,Area X,,Area X,NIFGA:birnlex_1379,,anatomical entity,,labels,birnlex_1379,,
nlx_154697_8,nlx_154697_8,con_to,Area X,,area X of ventral lateral nucleus,UBERON:0002687,FMA:62198,anatomical entity,,synonyms,birnlex_1379,,
nlx_154697_8,nlx_154697_8,con_to,Area X,,area X of basal ganglion,UBERON:0035807,,anatomical entity,,synonyms,birnlex_1379,,
nlx_154697_8,nlx_154697_8,con_to,Area postrema,,area postrema,UBERON:0002162,FMA:72607,anatomical entity,,labels,birnlex_2636,,
nlx_154697_8,nlx_154697_8,con_to,Barrington nucleus,,Barrington's nucleus,UBERON:0007632,,anatomical entity,,synonyms,nlx_144457,,
nlx_154697_8,nlx_154697_8,con_to,Basolateral nucleus of the amygdala,Basolateral nucleus of the amygdala,basal amygdaloid nucleus,UBERON:0002887,FMA:68855,anatomical entity,,synonyms,birnlex_2679,,
nlx_154697_8,nlx_154697_8,con_to,Basolateral nucleus of the amygdala,Basolateral nucleus of the amygdala,basolateral amygdaloid nuclear complex,UBERON:0006107,FMA:84609,anatomical entity,,synonyms,birnlex_2679,,
nlx_154697_8,nlx_154697_8,con_to,Basolateral nucleus of the amygdala anterior part,,Basolateral nucleus of the amygdala anterior part,,,,,curator,birnlex_2679,,
nlx_154697_8,nlx_154697_8,con_to,Basolateral nucleus of the amygdala posterior part,,Basolateral nucleus of the amygdala posterior part,,,,,curator,birnlex_2679,,
nlx_154697_8,nlx_154697_8,con_to,Basomedial nucleus of the amygdala,Basomedial nucleus of the amygdala,accessory basal amygdaloid nucleus,UBERON:0002885,FMA:61867,anatomical entity,,synonyms,birnlex_2686,,
nlx_154697_8,nlx_154697_8,con_to,Basomedial nucleus of the amygdala anterior part,,Basomedial nucleus of the amygdala anterior part,,,,,curator,birnlex_2686,,
nlx_154697_8,nlx_154697_8,con_to,Basomedial nucleus of the amygdala posterior part,,Basomedial nucleus of the amygdala posterior part,,,,,curator,birnlex_2686,,
nlx_154697_8,nlx_154697_8,con_to,Bed nuclei of the stria terminalis,,bed nucleus of stria terminalis,UBERON:0001880,FMA:61884,anatomical entity,,labels,birnlex_724,,
nlx_154697_8,nlx_154697_8,con_to,Bed nuclei of the stria terminalis anterior division anterodorsal area,,Bed nuclei of the stria terminalis anterior division anterodorsal area,,,,,curator,birnlex_724,,
nlx_154697_8,nlx_154697_8,con_to,Bed nuclei of the stria terminalis anterior division anterodorsal area central core,,Bed nuclei of the stria terminalis anterior division anterodorsal area central core,,,,,curator,birnlex_724,,
nlx_154697_8,nlx_154697_8,con_to,Bed nuclei of the stria terminalis anterior division anterodorsal area proper,,Bed nuclei of the stria terminalis anterior division anterodorsal area proper,,,,,curator,birnlex_724,,
nlx_154697_8,nlx_154697_8,con_to,Bed nuclei of the stria terminalis anterior division anteroventral area,,Bed nuclei of the stria terminalis anterior division anteroventral area,,,,,curator,birnlex_724,,
nlx_154697_8,nlx_154697_8,con_to,Bed nuclei of the stria terminalis anterior division dorsolateral nucleus,,Bed nuclei of the stria terminalis anterior division dorsolateral nucleus,,,,,curator,birnlex_724,,
nlx_154697_8,nlx_154697_8,con_to,Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,,Bed nuclei of the stria terminalis anterior division dorsomedial nucleus,,,,,curator,birnlex_724,,
nlx_154697_8,nlx_154697_8,con_to,Bed nuclei of the stria terminalis anterior division fusiform nucleus,,fusiform nucleus of stria terminalis,UBERON:0011175,,anatomical entity,,synonyms,birnlex_724,,
nlx_154697_8,nlx_154697_8,con_to,Bed nuclei of the stria terminalis anterior division magnocellular nucleus,,Bed nuclei of the stria terminalis anterior division magnocellular nucleus,,,,,curator,birnlex_724,,
nlx_154697_8,nlx_154697_8,con_to,Bed nuclei of the stria terminalis anterior division ventral nucleus,,Bed nuclei of the stria terminalis anterior division ventral nucleus,,,,,curator,birnlex_724,,
nlx_154697_8,nlx_154697_8,con_to,Bed nuclei of the stria terminalis anterolateral area,,Bed nuclei of the stria terminalis anterolateral area,,,,,curator,birnlex_724,,
nlx_154697_8,nlx_154697_8,con_to,Bed nuclei of the stria terminalis juxtacapsular nucleus,,Bed nuclei of the stria terminalis juxtacapsular nucleus,,,,,curator,birnlex_724,,
nlx_154697_8,nlx_154697_8,con_to,Bed nuclei of the stria terminalis oval nucleus,,bed nuclei of the stria terminalis oval nucleus,UBERON:0023958,,anatomical entity,,labels,nlx_77783,,
nlx_154697_8,nlx_154697_8,con_to,Bed nuclei of the stria terminalis posterior division cell-sparse zone,,Bed nuclei of the stria terminalis posterior division cell-sparse zone,,,,,curator,birnlex_724,,
nlx_154697_8,nlx_154697_8,con_to,Bed nuclei of the stria terminalis posterior division dorsal nucleus,,Bed nuclei of the stria terminalis posterior division dorsal nucleus,,,,,curator,birnlex_724,,
nlx_154697_8,nlx_154697_8,con_to,Bed nuclei of the stria terminalis posterior division premedullary nucleus,,Bed nuclei of the stria terminalis posterior division premedullary nucleus,,,,,curator,birnlex_724,,
nlx_154697_8,nlx_154697_8,con_to,Bed nuclei of the stria terminalis posterior division principal nucleus,,principal nucleus of stria terminalis,UBERON:0011178,,anatomical entity,,synonyms,birnlex_724,,
nlx_154697_8,nlx_154697_8,con_to,Bed nuclei of the stria terminalis posterior division strial extension,,Bed nuclei of the stria terminalis posterior division strial extension,,,,,curator,birnlex_724,,
nlx_154697_8,nlx_154697_8,con_to,Bed nuclei of the stria terminalis posterior division transverse nucleus,,transverse nucleus of stria terminalis,UBERON:0011179,,anatomical entity,,synonyms,birnlex_724,,
nlx_154697_8,nlx_154697_8,con_to,Bed nuclei of the stria terminalis rhomboid nucleus,,Bed nuclei of the stria terminalis rhomboid nucleus,,,,,curator,birnlex_724,,
nlx_154697_8,nlx_154697_8,con_to,"Bed nuclei of the stria terminalis, anterior division, subcommisural zone",,"Bed nuclei of the stria terminalis, anterior division, subcommisural zone",,,,,curator,birnlex_724,,
nlx_154697_8,nlx_154697_8,con_to,Bed nucleus of the anterior commissure,,nucleus of anterior commissure,UBERON:0002933,FMA:61883,anatomical entity,,synonyms,birnlex_712,,
nlx_154697_8,nlx_154697_8,con_to,Bed nucleus of the stria medularis,,Bed nucleus of the stria medularis,,,,,curator,nlx_144459,,
nlx_154697_8,nlx_154697_8,con_to,CA1,,CA1 field of hippocampus,UBERON:0003881,FMA:74042,anatomical entity,,synonyms,birnlex_1197,,
nlx_154697_8,nlx_154697_8,con_to,CA3,,CA3 field of hippocampus,UBERON:0003883,FMA:74045,anatomical entity,,synonyms,birnlex_1204,,
nlx_154697_8,nlx_154697_8,con_to,CEREBELLUM,,cerebellum,UBERON:0002037,FMA:67944,anatomical entity,,labels,birnlex_1489,,
nlx_154697_8,nlx_154697_8,con_to,Caudoputamen,,Caudoputamen,NIFGA:nlx_anat_100312,,anatomical entity,,labels,nlx_anat_100312,,
nlx_154697_8,nlx_154697_8,con_to,Caudoputamen,,dorsal striatum,UBERON:0005382,FMA:77620,anatomical entity,,synonyms,nlx_anat_100312,,
nlx_154697_8,nlx_154697_8,con_to,Caudoputamen,,caudate-putamen,UBERON:0005383,,anatomical entity,,synonyms,nlx_anat_100312,,
nlx_154697_8,nlx_154697_8,con_to,Central cervical nucleus,,Central cervical nucleus,,,,,curator,nlx_143586,,
nlx_154697_8,nlx_154697_8,con_to,Central lateral nucleus of the thalamus,,central lateral nucleus,UBERON:0003036,FMA:62170,anatomical entity,,synonyms,birnlex_961,,
nlx_154697_8,nlx_154697_8,con_to,Central medial nucleus of the thalamus,,central medial nucleus,UBERON:0001923,FMA:62171,anatomical entity,,synonyms,birnlex_971,,
nlx_154697_8,nlx_154697_8,con_to,Central nucleus of amygdala,,central amygdaloid nucleus,UBERON:0002883,FMA:74047,anatomical entity,,synonyms,birnlex_2682,,
nlx_154697_8,nlx_154697_8,con_to,Central nucleus of amygdala capsular part,,Central nucleus of amygdala capsular part,,,,,curator,birnlex_2682,,
nlx_154697_8,nlx_154697_8,con_to,Central nucleus of amygdala lateral part,,Central nucleus of amygdala lateral part,,,,,curator,nlx_37559,,
nlx_154697_8,nlx_154697_8,con_to,Central nucleus of amygdala medial part,,Central nucleus of amygdala medial part,,,,,curator,nlx_30217,,
nlx_154697_8,nlx_154697_8,con_to,Cerebellum,,cerebellum,UBERON:0002037,FMA:67944,anatomical entity,,labels,birnlex_1489,,
nlx_154697_8,nlx_154697_8,con_to,Claustrum,Claustrum,claustrum of brain,UBERON:0002023,FMA:67440,anatomical entity,,synonyms,birnlex_1522,,
nlx_154697_8,nlx_154697_8,con_to,Cornu Ammonis,,Ammon's horn,UBERON:0001954,FMA:62493,anatomical entity,,synonyms,birnlex_721,,
nlx_154697_8,nlx_154697_8,con_to,Cortical nucleus of the amygdala,Cortical nucleus of the amygdala,Cortical nucleus of the amygdala,,,,,curator,birnlex_2700,,
nlx_154697_8,nlx_154697_8,con_to,Cuneate nucleus,,cuneate nucleus,UBERON:0002045,FMA:68465,anatomical entity,,labels,birnlex_2640,,
nlx_154697_8,nlx_154697_8,con_to,Cuneiform nucleus,,cuneiform nucleus,UBERON:0002696,FMA:231327FMA:72427,anatomical entity,,labels,birnlex_1430,,
nlx_154697_8,nlx_154697_8,con_to,DEEP CEREBELLAR NUCLEI,,Deep cerebellar nuclear complex,NIFGA:birnlex_1568,,anatomical entity,,synonyms,birnlex_1568,,
nlx_154697_8,nlx_154697_8,con_to,DEEP CEREBELLAR NUCLEI,,cerebellar nuclear complex,UBERON:0002130,FMA:72249,anatomical entity,,synonyms,birnlex_1568,,
nlx_154697_8,nlx_154697_8,con_to,DEEP CEREBELLAR NUCLEI,,nucleus of cerebellar nuclear complex,UBERON:0008995,FMA:321695,anatomical entity,,synonyms,birnlex_1568,,
nlx_154697_8,nlx_154697_8,con_to,DENTATE GYRUS,,dentate gyrus of hippocampal formation,UBERON:0001885,FMA:61922,anatomical entity,,synonyms,birnlex_1178,,
nlx_154697_8,nlx_154697_8,con_to,"Declive, sublobule a",,"Declive, sublobule a",,,,,curator,nlx_anat_20081229,,
nlx_154697_8,nlx_154697_8,con_to,"Declive, sublobule b",,"Declive, sublobule b",,,,,curator,nlx_anat_20081229,,
nlx_154697_8,nlx_154697_8,con_to,"Declive, sublobule c",,"Declive, sublobule c",,,,,curator,nlx_anat_20081229,,
nlx_154697_8,nlx_154697_8,con_to,Dentate Gyrus,,dentate gyrus of hippocampal formation,UBERON:0001885,FMA:61922,anatomical entity,,synonyms,birnlex_1178,,
nlx_154697_8,nlx_154697_8,con_to,Dentate Nucleus,,dentate nucleus,UBERON:0002132,FMA:72260,anatomical entity,,labels,birnlex_1171,,
nlx_154697_8,nlx_154697_8,con_to,Dentate gyrus,,dentate gyrus of hippocampal formation,UBERON:0001885,FMA:61922,anatomical entity,,synonyms,birnlex_1178,,
nlx_154697_8,nlx_154697_8,con_to,Dentate gyrus crest,,Dentate gyrus crest,,,,,curator,birnlex_1178,,
nlx_154697_8,nlx_154697_8,con_to,Dentate gyrus crest granule cell  layer,,Dentate gyrus crest granule cell  layer,,,,,curator,birnlex_1178,,
nlx_154697_8,nlx_154697_8,con_to,Dentate gyrus crest molecular layer,,Dentate gyrus crest molecular layer,,,,,curator,birnlex_1178,,
nlx_154697_8,nlx_154697_8,con_to,Dentate gyrus crest polymorph  layer,,Dentate gyrus crest polymorph  layer,,,,,curator,birnlex_1178,,
nlx_154697_8,nlx_154697_8,con_to,Dentate gyrus lateral blade,,Dentate gyrus lateral blade,,,,,curator,birnlex_1178,,
nlx_154697_8,nlx_154697_8,con_to,Dentate gyrus lateral blade granule cell layer,,Dentate gyrus lateral blade granule cell layer,,,,,curator,birnlex_1178,,
nlx_154697_8,nlx_154697_8,con_to,Dentate gyrus lateral blade molecular layer,,Dentate gyrus lateral blade molecular layer,,,,,curator,birnlex_1178,,
nlx_154697_8,nlx_154697_8,con_to,Dentate gyrus lateral blade polymorph layer,,Dentate gyrus lateral blade polymorph layer,,,,,curator,birnlex_1178,,
nlx_154697_8,nlx_154697_8,con_to,Dentate gyrus medial blade granule cell layer,,Dentate gyrus medial blade granule cell layer,,,,,curator,birnlex_1178,,
nlx_154697_8,nlx_154697_8,con_to,Dentate gyrus medial blade molecular layer,,Dentate gyrus medial blade molecular layer,,,,,curator,birnlex_1178,,
nlx_154697_8,nlx_154697_8,con_to,Dentate gyrus medial blade polymorph layer,,Dentate gyrus medial blade polymorph layer,,,,,curator,birnlex_1178,,
nlx_154697_8,nlx_154697_8,con_to,Dentate nucleus,,dentate nucleus,UBERON:0002132,FMA:72260,anatomical entity,,labels,birnlex_1171,,
nlx_154697_8,nlx_154697_8,con_to,Dentate nucleus parvicellular part,,Dentate nucleus parvicellular part,,,,,curator,birnlex_1171,,
nlx_154697_8,nlx_154697_8,con_to,Dentate nucleus proper,,Dentate nucleus proper,,,,,curator,birnlex_1171,,
nlx_154697_8,nlx_154697_8,con_to,Dorsal Lateral Geniculate Nucleus,,dorsal lateral geniculate nucleus,UBERON:0002479,FMA:62214,anatomical entity,,labels,birnlex_1595,,
nlx_154697_8,nlx_154697_8,con_to,Dorsal accessory olive,,dorsal accessory inferior olivary nucleus,UBERON:0007249,FMA:72593,anatomical entity,,synonyms,nlx_anat_100310,,
nlx_154697_8,nlx_154697_8,con_to,Dorsal coclear nucleus,,dorsal cochlear nucleus,UBERON:0002829,FMA:54624,anatomical entity,,synonyms,birnlex_2569,,
nlx_154697_8,nlx_154697_8,con_to,Dorsal commissural nucleus,,Dorsal commissural nucleus,,,,,curator,nlx_144463,,
nlx_154697_8,nlx_154697_8,con_to,Dorsal motor nucleus of the vagus nerve,,dorsal motor nucleus of vagus nerve,UBERON:0002870,FMA:54592,anatomical entity,,labels,birnlex_2642,,
nlx_154697_8,nlx_154697_8,con_to,Dorsal nucleus raphe,,dorsal raphe nucleus,UBERON:0002043,FMA:68462,anatomical entity,,synonyms,birnlex_982,,
nlx_154697_8,nlx_154697_8,con_to,Dorsal part of the lateral geniculate complex,,dorsal lateral geniculate nucleus,UBERON:0002479,FMA:62214,anatomical entity,,synonyms,birnlex_1595,,
nlx_154697_8,nlx_154697_8,con_to,Dorsal premammillary nucleus,,dorsal premammillary nucleus,UBERON:0007767,FMA:77006,anatomical entity,,labels,birnlex_1473,,
nlx_154697_8,nlx_154697_8,con_to,Dorsal tegmental nucleus,,dorsal tegmental nucleus,UBERON:0002143,FMA:72434,anatomical entity,,labels,birnlex_992,,
nlx_154697_8,nlx_154697_8,con_to,Dorsomedial nucleus of the hypothalamus,,dorsomedial nucleus of hypothalamus,UBERON:0001934,FMA:62331,anatomical entity,,labels,birnlex_1558,,
nlx_154697_8,nlx_154697_8,con_to,Dorsomedial nucleus of the hypothalamus anterior part,,Dorsomedial nucleus of the hypothalamus anterior part,,,,,curator,birnlex_1558,,
nlx_154697_8,nlx_154697_8,con_to,Dorsomedial nucleus of the hypothalamus posterior part,,Dorsomedial nucleus of the hypothalamus posterior part,,,,,curator,birnlex_1558,,
nlx_154697_8,nlx_154697_8,con_to,Dorsomedial nucleus of the hypothalamus ventral part,,Dorsomedial nucleus of the hypothalamus ventral part,,,,,curator,birnlex_1558,,
nlx_154697_8,nlx_154697_8,con_to,EXTERNAL CUNEATE NUCLEUS,,accessory cuneate nucleus,UBERON:0002864,FMA:72603,anatomical entity,,synonyms,birnlex_2634,,
nlx_154697_8,nlx_154697_8,con_to,Ectorhinal area,,Ectorhinal area,,,,,curator,birnlex_1769,,
nlx_154697_8,nlx_154697_8,con_to,Edinger-Westphal nucleus,,parvocellular oculomotor nucleus,UBERON:0002141,FMA:72424,anatomical entity,,synonyms,birnlex_822,,
nlx_154697_8,nlx_154697_8,con_to,Endopiriform nucleus,,endopiriform nucleus,UBERON:0014284,,anatomical entity,,labels,nlx_anat_091033,,
nlx_154697_8,nlx_154697_8,con_to,Endopiriform nucleus dorsal part,,Endopiriform nucleus dorsal part,,,,,curator,nlx_anat_091033,,
nlx_154697_8,nlx_154697_8,con_to,Endopiriform nucleus ventral part,,Endopiriform nucleus ventral part,,,,,curator,nlx_anat_091033,,
nlx_154697_8,nlx_154697_8,con_to,Entorhinal Cortex,,entorhinal cortex,UBERON:0002728,FMA:72356,anatomical entity,,labels,birnlex_1508,,
nlx_154697_8,nlx_154697_8,con_to,Entorhinal Cortex,,secondary olfactory cortex,UBERON:0002895,,anatomical entity,,synonyms,birnlex_1508,,
nlx_154697_8,nlx_154697_8,con_to,Entorhinal area,,entorhinal cortex,UBERON:0002728,FMA:72356,anatomical entity,,synonyms,birnlex_1508,,
nlx_154697_8,nlx_154697_8,con_to,"Entorhinal area medial part, dorsal zone",,dorsal zone of medial entorhinal cortex,UBERON:0018262,,anatomical entity,,synonyms,birnlex_1508,,
nlx_154697_8,nlx_154697_8,con_to,"Entorhinal area medial part, dorsal zone layers 1-6",,dorsal zone of medial entorhinal cortex,UBERON:0018262,,anatomical entity,,synonyms,birnlex_1508,,
nlx_154697_8,nlx_154697_8,con_to,"Entorhinal area medial part, ventral zone",,ventral zone of medial entorhinal cortex,UBERON:0018263,,anatomical entity,,synonyms,birnlex_1508,,
nlx_154697_8,nlx_154697_8,con_to,"Entorhinal area, lateral part",,lateral entorhinal cortex,UBERON:0007225,,anatomical entity,,synonyms,birnlex_1508,,
nlx_154697_8,nlx_154697_8,con_to,"Entorhinal area, lateral part layers 1-6",,"Entorhinal area, lateral part layers 1-6",,,,,curator,birnlex_1508,,
nlx_154697_8,nlx_154697_8,con_to,Entorhinal cortex,Entorhinal cortex,entorhinal cortex,UBERON:0002728,FMA:72356,anatomical entity,,labels,birnlex_1508,,
nlx_154697_8,nlx_154697_8,con_to,Entorhinal cortex,Entorhinal cortex,secondary olfactory cortex,UBERON:0002895,,anatomical entity,,synonyms,birnlex_1508,,
nlx_154697_8,nlx_154697_8,con_to,Epithalamus,,epithalamus,UBERON:0001899,FMA:62009,anatomical entity,,labels,birnlex_1710,,
nlx_154697_8,nlx_154697_8,con_to,External cuneate nucleus,,accessory cuneate nucleus,UBERON:0002864,FMA:72603,anatomical entity,,synonyms,birnlex_2634,,
nlx_154697_8,nlx_154697_8,con_to,FLOCCULUS,,flocculus,UBERON:0001063,FMA:83881,anatomical entity,,labels,birnlex_1329,,
